Cafe Name,Outdoor Seating,Indoor Seating,Latitude,Longitude,Orientation,Date,Day of Year,Time of Day,Sunrise Time,Sunset Time,Solar Angle (°),Temperature (°C),Humidity (%),Cloud Cover (%),Sunshine Duration (min),Wind Speed (km/h),Weather Condition,Is Cloudy,Sunlight Status
Moon Brew House,No,No,49.396907,8.680418,West,2023-09-30,273,18:15,04:49,21:40,0.0,13.6,89,15,49,9.3,Fog,No,Shady
Latte Brew House,Yes,No,49.403308,8.668901,North,2025-04-13,103,16:30,05:22,21:07,17.35,8.5,62,91,0,0.8,Clear,Yes,Sunny
Café Amber,Yes,No,49.395508,8.671067,North,2023-12-24,358,15:45,04:00,22:29,0.0,15.5,61,70,0,8.5,Clear,Yes,Sunny
Cafe Rossi,No,No,49.401833,8.663655,East,2024-10-21,295,15:00,04:28,22:01,0.0,10.9,42,29,38,4.3,Clear,No,Sunny
Cafe Cocoa,Yes,Yes,49.408195,8.668755,South,2023-06-23,174,09:15,05:59,20:30,63.57,12.2,73,55,13,6.5,Clear,Yes,Sunny
Cafe de Mont,No,Yes,49.387568,8.676406,West,2024-04-02,93,09:15,05:12,21:17,14.12,13.3,63,94,0,10.6,Rain,Yes,Sunny
Cafe Oak,Yes,Yes,49.404649,8.663009,West,2023-08-06,218,09:45,05:42,20:47,44.12,8.0,62,99,0,6.7,Clear,Yes,Sunny
Forest Café,Yes,No,49.400493,8.665445,North,2025-02-03,34,13:15,04:16,22:13,0.0,16.5,53,42,11,1.2,Clear,No,Sunny
Barn Coffee,Yes,Yes,49.399914,8.667883,East,2023-07-31,212,14:00,05:46,20:43,59.54,20.5,40,91,0,1.9,Cloudy,Yes,Sunny
Cafe de Petal,Yes,Yes,49.402779,8.674366,South,2024-09-16,260,18:45,05:03,21:26,0.0,15.6,85,18,39,2.2,Clear,No,Sunny
Berg Café,Yes,Yes,49.405664,8.673437,North,2025-01-02,2,16:00,04:01,22:28,0.0,14.0,46,52,6,6.1,Clear,Yes,Sunny
Café Hearth,Yes,No,49.404897,8.675099,East,2025-04-16,106,10:15,05:25,21:04,33.73,21.4,90,23,38,0.2,Clear,No,Sunny
Nest Espresso,Yes,No,49.402547,8.678942,North,2025-03-14,73,19:00,04:52,21:37,2.8,15.1,42,41,29,6.5,Rain,No,Sunny
Brew Café,Yes,No,49.394618,8.666544,East,2024-01-23,23,13:45,04:09,22:20,0.0,11.9,53,80,0,4.2,Fog,Yes,Sunny
Mist Coffee,Yes,Yes,49.397508,8.670456,East,2025-04-01,91,19:00,05:10,21:19,0.0,24.9,66,50,13,9.4,Cloudy,No,Sunny
Café Bay,No,No,49.39788,8.677891,South,2024-05-29,150,19:30,05:55,20:34,0.0,16.6,75,65,0,0.3,Cloudy,Yes,Shady
Cafe Obsidian,Yes,Yes,49.395511,8.667494,North,2025-02-13,44,18:45,04:24,22:05,0.0,10.4,47,52,0,6.2,Cloudy,Yes,Sunny
The Barn Cafe,Yes,No,49.398202,8.667301,East,2024-10-29,303,18:45,04:22,22:07,0.0,19.6,88,55,2,6.5,Clear,Yes,Sunny
Mochi Roasters,Yes,No,49.400102,8.673232,East,2024-03-03,63,08:45,04:41,21:48,0.0,11.3,53,0,51,5.7,Clear,No,Sunny
Studio Brew House,Yes,No,49.395056,8.669621,South,2024-08-04,217,15:15,05:42,20:47,44.9,8.7,87,46,5,4.4,Clear,No,Sunny
Mont Beans,Yes,No,49.399601,8.671716,North,2024-08-23,236,18:00,05:27,21:02,0.0,17.2,78,73,0,13.7,Cloudy,Yes,Sunny
Alba Espresso,Yes,Yes,49.403384,8.666448,West,2025-03-24,83,13:30,05:02,21:27,4.49,17.1,54,16,40,14.9,Rain,No,Sunny
Pulse Café,No,Yes,49.39369,8.678953,South,2024-07-15,197,16:30,05:54,20:35,40.65,14.3,70,77,0,8.4,Cloudy,Yes,Shady
Bay Brew House,No,Yes,49.402051,8.665841,South,2023-07-05,186,15:15,05:58,20:31,61.6,15.6,81,100,0,6.8,Cloudy,Yes,Shady
Nook Espresso,No,Yes,49.406977,8.672974,North,2024-09-03,247,08:30,05:16,21:13,11.86,18.3,70,83,0,1.3,Clear,Yes,Shady
Cafe Brass,No,Yes,49.39434,8.6765,North,2025-01-25,25,09:00,04:10,22:19,0.0,16.5,76,6,60,14.2,Clear,No,Shady
Vanilla Coffee,Yes,No,49.401841,8.668464,West,2024-06-01,153,18:15,05:56,20:33,0.0,11.0,90,64,1,14.0,Rain,Yes,Shady
Fog Beans,Yes,Yes,49.401922,8.673051,South,2024-12-23,358,06:45,04:00,22:29,0.0,13.1,43,27,29,13.5,Rain,No,Sunny
Obsidian Brew House,No,No,49.406762,8.665508,South,2024-03-09,69,15:00,04:47,21:42,0.0,16.3,63,56,14,11.9,Cloudy,Yes,Sunny
Cafe Loft,Yes,Yes,49.402748,8.670503,West,2025-01-15,15,11:45,04:05,22:24,0.0,19.0,78,29,34,15.0,Cloudy,No,Sunny
Café Mont,Yes,No,49.405467,8.668792,South,2025-05-13,133,18:15,05:46,20:43,0.0,11.5,73,69,0,12.8,Fog,Yes,Sunny
Harbor Coffee,No,Yes,49.393798,8.671128,East,2025-02-08,39,13:15,04:20,22:09,0.0,18.0,75,33,36,10.5,Cloudy,No,Sunny
Cafe Pine,Yes,Yes,49.398316,8.66428,North,2024-04-07,98,10:15,05:17,21:12,23.77,17.4,76,16,52,9.0,Clear,No,Sunny
Flint Café,Yes,Yes,49.40029,8.669937,West,2025-04-20,110,09:30,05:28,21:01,31.42,7.2,83,54,6,8.2,Cloudy,Yes,Sunny
Mont Roasters,Yes,Yes,49.394057,8.674568,South,2024-06-27,179,20:15,05:59,20:30,0.0,15.3,59,51,15,9.2,Fog,Yes,Shady
Café Cloud,Yes,Yes,49.396812,8.667191,South,2025-04-19,109,16:00,05:28,21:01,21.54,10.0,70,36,28,7.5,Clear,No,Sunny
Cafe Chalet,Yes,No,49.401428,8.671521,North,2024-08-26,239,13:15,05:24,21:05,34.22,14.9,58,75,0,0.3,Rain,Yes,Sunny
Café Silk,Yes,No,49.400363,8.668976,West,2024-12-21,356,11:30,04:00,22:29,0.0,11.3,81,89,0,5.8,Rain,Yes,Sunny
Heidel Roasters,No,Yes,49.389122,8.669437,East,2023-11-23,327,11:15,04:06,22:23,0.0,18.7,89,49,6,2.5,Clear,No,Shady
Cafe Moss,Yes,Yes,49.392994,8.665985,South,2023-07-01,182,07:15,05:59,20:30,22.9,15.6,78,57,1,5.1,Clear,Yes,Shady
Cabin Beans,No,No,49.39777,8.679321,East,2025-02-04,35,12:15,04:17,22:12,0.0,19.9,42,32,21,10.4,Clear,No,Shady
Café Hill,No,No,49.402888,8.66558,South,2024-04-08,99,12:15,05:18,21:11,28.91,14.6,82,76,0,5.8,Clear,Yes,Sunny
Verse Coffee,No,Yes,49.405964,8.676273,West,2025-02-07,38,18:45,04:19,22:10,0.0,12.5,43,39,18,10.3,Cloudy,No,Sunny
Fog Roasters,No,No,49.397272,8.66888,South,2024-08-10,223,08:30,05:38,20:51,28.29,11.6,73,98,0,10.4,Cloudy,Yes,Shady
Frame Brew House,Yes,No,49.389783,8.67817,South,2025-01-28,28,15:00,04:12,22:17,0.0,21.6,68,7,50,4.0,Rain,No,Shady
Muse Espresso,Yes,Yes,49.398804,8.668025,West,2024-08-07,220,13:45,05:40,20:49,58.08,8.0,87,8,55,0.1,Fog,No,Sunny
Berg Espresso,No,Yes,49.395075,8.674367,West,2024-06-27,179,15:30,05:59,20:30,63.07,21.8,71,85,0,8.7,Rain,Yes,Shady
Flint Beans,No,No,49.395683,8.668848,North,2024-02-29,60,12:45,04:39,21:50,0.0,12.2,44,11,41,4.7,Rain,No,Sunny
Cafe Velvet,Yes,Yes,49.393883,8.671832,South,2023-07-23,204,06:45,05:51,20:38,0.0,15.7,58,39,29,10.7,Cloudy,No,Sunny
Grove Beans,No,No,49.403514,8.672884,West,2024-07-02,184,12:45,05:58,20:31,87.84,20.2,60,30,24,7.1,Clear,No,Sunny
Pulse Roasters,Yes,No,49.393916,8.671042,East,2023-07-03,184,17:00,05:58,20:31,22.73,16.1,57,62,0,8.7,Rain,Yes,Sunny
Cafe de Willow,No,No,49.406477,8.678091,South,2024-12-09,344,20:00,04:00,22:29,44.37,13.9,49,28,28,10.9,Fog,No,Sunny
Bean Beans,Yes,No,49.394682,8.664432,North,2023-06-03,154,11:45,05:57,20:32,83.13,15.1,62,50,3,5.6,Cloudy,No,Sunny
Soho Beans,Yes,No,49.393845,8.679976,North,2024-01-11,11,12:45,04:04,22:25,0.0,21.5,53,56,8,13.3,Fog,Yes,Sunny
Loft Espresso,No,No,49.406444,8.675143,West,2024-01-09,9,08:30,04:03,22:26,0.0,8.5,60,87,0,6.7,Fog,Yes,Sunny
Cafe de Dawn,No,No,49.400775,8.671234,North,2024-09-17,261,12:15,05:02,21:27,2.32,18.4,62,53,15,11.0,Cloudy,Yes,Sunny
Echo Coffee,Yes,Yes,49.401871,8.676767,East,2023-06-19,170,17:45,05:59,20:30,23.29,16.8,79,86,0,6.9,Clear,Yes,Shady
The Vanilla Cafe,No,No,49.413356,8.672352,West,2023-12-16,350,08:15,04:00,22:29,0.0,13.7,74,1,50,11.2,Clear,No,Sunny
Cafe Aurora,No,Yes,49.397215,8.671772,East,2024-05-29,150,08:30,05:55,20:34,42.02,12.3,81,44,8,3.9,Clear,No,Sunny
The Alcove Cafe,Yes,Yes,49.390644,8.669975,South,2024-06-15,167,15:30,05:59,20:30,63.47,21.9,90,80,0,3.2,Clear,Yes,Shady
Café Muse,No,No,49.395396,8.672994,East,2024-05-05,126,10:15,05:42,20:47,55.47,13.7,62,93,0,2.0,Cloudy,Yes,Sunny
Bay Café,Yes,Yes,49.393774,8.675705,South,2025-05-21,141,12:45,05:51,20:38,78.07,14.6,71,24,40,12.3,Clear,No,Sunny
Haze Espresso,No,No,49.397841,8.665541,South,2024-04-26,117,15:15,05:35,20:54,37.85,18.9,45,90,0,11.8,Rain,Yes,Sunny
Den Roasters,No,No,49.400135,8.659124,West,2024-11-01,306,08:00,04:19,22:10,0.0,15.2,82,47,11,7.4,Rain,No,Sunny
Zephyr Beans,Yes,Yes,49.401272,8.669666,West,2023-09-15,258,06:30,05:05,21:24,0.0,11.6,84,29,33,3.2,Clear,No,Sunny
Heidel Beans,No,Yes,49.405313,8.676253,South,2023-08-13,225,19:30,05:36,20:53,0.0,8.4,60,88,0,12.1,Clear,Yes,Sunny
Cafe Station,Yes,Yes,49.397374,8.670698,South,2023-08-27,239,20:00,05:24,21:05,0.0,14.7,60,25,44,7.0,Rain,No,Shady
Espresso Coffee,No,Yes,49.395715,8.678642,South,2024-07-27,209,11:15,05:48,20:41,69.21,15.6,79,41,28,7.4,Clear,No,Sunny
Cafe de Porch,No,Yes,49.395976,8.674214,North,2024-09-27,271,09:00,04:52,21:37,0.0,9.7,85,58,0,3.8,Clear,Yes,Sunny
Silk Coffee,Yes,Yes,49.406438,8.681103,East,2023-10-23,296,09:30,04:27,22:02,0.0,14.0,55,91,0,1.8,Fog,Yes,Sunny
Alcove Espresso,Yes,Yes,49.399472,8.682424,South,2024-08-03,216,12:00,05:43,20:46,64.59,15.1,61,85,0,5.1,Clear,Yes,Shady
Cocoa Espresso,Yes,No,49.393778,8.670532,East,2025-03-10,69,14:45,04:47,21:42,0.0,11.7,65,7,51,3.0,Clear,No,Shady
Café Cloud,No,Yes,49.397636,8.668688,North,2025-03-09,68,18:45,04:46,21:43,0.0,7.1,40,58,0,6.2,Fog,Yes,Sunny
Rock Coffee,Yes,Yes,49.405525,8.668318,North,2024-03-11,71,12:00,04:49,21:40,0.0,22.1,54,35,17,11.0,Clear,No,Sunny
Cafe de Sun,No,No,49.399861,8.67302,North,2025-04-22,112,16:45,05:30,20:59,23.55,14.9,81,62,5,12.2,Rain,Yes,Sunny
Brook Espresso,Yes,No,49.397224,8.679242,West,2024-09-15,259,15:00,05:04,21:25,3.83,19.2,83,74,0,10.9,Clear,Yes,Sunny
Café Espresso,Yes,No,49.395966,8.657201,South,2024-01-23,23,15:15,04:09,22:20,0.0,16.9,62,38,23,10.0,Clear,No,Sunny
Cedar Coffee,No,No,49.396308,8.674461,East,2023-08-29,241,19:15,05:22,21:07,0.0,10.9,78,29,26,2.0,Clear,No,Shady
Petal Coffee,Yes,No,49.39814,8.66269,West,2024-09-24,268,16:45,04:55,21:34,0.0,15.7,84,56,3,11.1,Clear,Yes,Sunny
The Latte Cafe,Yes,Yes,49.392034,8.677571,North,2023-10-04,277,11:15,04:45,21:44,0.0,16.8,72,6,54,10.8,Cloudy,No,Sunny
Grove Coffee,No,Yes,49.399056,8.674479,West,2025-03-04,63,17:15,04:41,21:48,0.0,17.1,87,46,9,1.4,Clear,No,Sunny
Aurora Brew House,Yes,Yes,49.402884,8.672444,West,2024-01-27,27,08:30,04:12,22:17,0.0,16.1,83,98,0,8.1,Clear,Yes,Sunny
Cafe de Stone,Yes,No,49.40274,8.67462,West,2023-11-15,319,20:45,04:10,22:19,37.19,16.8,70,74,0,1.3,Rain,Yes,Shady
Deer Brew House,Yes,Yes,49.404524,8.676206,West,2024-03-27,87,08:30,05:06,21:23,5.41,20.7,87,95,0,3.1,Clear,Yes,Sunny
Nook Roasters,No,No,49.393616,8.67075,West,2024-01-19,19,18:30,04:07,22:22,0.0,20.2,76,35,24,5.1,Rain,No,Sunny
Nova Roasters,No,No,49.400418,8.67322,West,2024-01-15,15,19:00,04:05,22:24,20.96,14.5,49,39,30,5.9,Clear,No,Sunny
Vienna Brew House,Yes,No,49.402749,8.662675,North,2025-02-12,43,10:15,04:23,22:06,0.0,16.5,49,43,10,3.0,Clear,No,Shady
Café Nook,Yes,No,49.398102,8.666079,South,2023-09-19,262,07:45,05:01,21:28,0.2,11.3,56,85,0,3.6,Clear,Yes,Shady
Petal Beans,No,Yes,49.399744,8.66957,North,2024-03-31,91,20:15,05:10,21:19,0.0,10.4,44,93,0,4.1,Cloudy,Yes,Sunny
Brew Brew House,No,Yes,49.394459,8.673502,South,2024-01-15,15,19:15,04:05,22:24,20.96,17.6,78,0,58,6.9,Cloudy,No,Sunny
Macchiato Brew House,No,No,49.392714,8.672266,East,2024-03-20,80,09:00,04:59,21:30,0.0,10.5,72,16,35,4.2,Clear,No,Sunny
Cafe de Twilight,No,No,49.394891,8.676737,East,2025-04-17,107,12:15,05:26,21:03,40.34,14.5,51,62,0,14.2,Cloudy,Yes,Sunny
Espresso Roasters,Yes,No,49.389494,8.679828,West,2024-09-12,256,06:15,05:07,21:22,0.0,16.8,60,31,33,4.5,Rain,No,Sunny
Storm Coffee,No,Yes,49.384236,8.669988,North,2023-06-07,158,10:30,05:58,20:31,75.92,7.9,70,63,7,10.4,Clear,Yes,Shady
Amber Café,No,No,49.395863,8.68269,West,2023-12-15,349,16:00,04:00,22:29,0.0,19.4,90,67,1,14.0,Clear,Yes,Shady
Verse Beans,No,Yes,49.399586,8.666326,West,2023-06-23,174,13:00,05:59,20:30,86.84,19.3,79,58,0,6.8,Clear,Yes,Sunny
Haven Coffee,No,No,49.395483,8.669959,North,2024-08-30,243,12:30,05:20,21:09,29.65,14.6,75,72,0,3.6,Clear,Yes,Sunny
Cafe Vine,Yes,No,49.394396,8.675401,West,2024-12-16,351,17:15,04:00,22:29,0.0,9.9,44,0,62,4.1,Cloudy,No,Sunny
Sky Café,Yes,Yes,49.396468,8.664343,South,2023-09-18,261,08:30,05:02,21:27,1.16,16.4,80,93,0,3.3,Clear,Yes,Sunny
Café Alcove,No,No,49.400645,8.678641,East,2024-06-09,161,12:00,05:58,20:31,88.6,24.5,79,81,0,1.9,Clear,Yes,Sunny
Mist Coffee,No,Yes,49.405017,8.668893,East,2023-08-11,223,08:45,05:38,20:51,28.29,17.5,84,27,37,4.0,Clear,No,Sunny
Atelier Espresso,Yes,Yes,49.403138,8.681311,West,2023-08-25,237,12:30,05:26,21:03,38.25,9.7,69,55,7,12.9,Clear,Yes,Sunny
Porch Café,No,Yes,49.396875,8.678548,South,2023-08-15,227,18:00,05:35,20:54,0.0,17.9,89,30,24,5.2,Rain,No,Sunny
Grind Coffee,Yes,No,49.393705,8.668207,East,2024-10-26,300,09:15,04:24,22:05,0.0,11.3,79,8,61,9.9,Rain,No,Shady
Café Station,No,No,49.403637,8.671562,West,2023-08-23,235,08:00,05:28,21:01,20.52,6.9,49,7,44,5.5,Clear,No,Shady
Nest Café,No,Yes,49.402345,8.674279,West,2023-12-25,359,19:30,04:00,22:29,23.2,17.6,50,73,0,4.3,Clear,Yes,Sunny
Cafe de Rain,Yes,Yes,49.398458,8.672905,West,2025-03-15,74,12:15,04:53,21:36,0.0,24.0,59,56,1,5.7,Rain,Yes,Sunny
The Marble Cafe,Yes,Yes,49.401087,8.677822,East,2023-10-10,283,14:30,04:39,21:50,0.0,19.7,85,39,16,11.5,Fog,No,Sunny
Cafe de Muse,No,No,49.396037,8.682608,East,2023-08-17,229,16:15,05:33,20:56,24.54,14.9,44,26,31,1.8,Fog,No,Sunny
Hill Beans,No,No,49.399535,8.672202,South,2023-09-20,263,20:30,05:00,21:29,0.39,12.6,50,40,29,10.5,Cloudy,No,Shady
Cafe Drift,No,Yes,49.400677,8.669412,East,2023-08-10,222,13:30,05:39,20:50,55.82,17.0,51,100,0,10.2,Fog,Yes,Shady
Barn Brew House,Yes,Yes,49.403705,8.668822,North,2023-11-23,327,18:30,04:06,22:23,0.0,10.0,52,30,27,3.5,Clear,No,Sunny
Dawn Espresso,Yes,Yes,49.397389,8.678009,West,2025-05-05,125,16:15,05:41,20:48,31.48,21.2,81,26,33,8.2,Fog,No,Sunny
Cafe Alba,Yes,No,49.394055,8.675788,West,2024-08-18,231,08:15,05:31,20:58,23.22,16.6,80,13,46,9.4,Fog,No,Sunny
The Grind Cafe,Yes,Yes,49.398076,8.676832,West,2024-12-13,348,14:00,04:00,22:29,0.0,15.1,88,42,13,13.6,Rain,No,Shady
Cloud Café,Yes,No,49.38747,8.671879,North,2024-10-14,288,10:30,04:35,21:54,0.0,14.2,89,83,0,6.4,Fog,Yes,Sunny
Deer Beans,Yes,Yes,49.405303,8.667962,West,2023-11-10,314,18:15,04:14,22:15,0.0,7.5,83,11,43,1.0,Rain,No,Sunny
Nook Espresso,Yes,No,49.396622,8.679687,South,2024-09-16,260,06:45,05:03,21:26,0.0,17.7,88,51,6,11.1,Rain,Yes,Sunny
Cafe Hollow,No,No,49.392001,8.676723,West,2024-08-16,229,16:00,05:33,20:56,24.54,14.2,72,0,59,0.4,Cloudy,No,Sunny
Espresso Roasters,Yes,No,49.3991,8.675053,West,2023-06-18,169,12:30,05:59,20:30,89.93,21.9,64,71,0,11.6,Rain,Yes,Shady
Cafe Mochi,No,No,49.401908,8.678711,South,2025-02-27,58,11:15,04:37,21:52,0.0,19.4,44,70,0,8.0,Clear,Yes,Sunny
Luna Beans,No,No,49.397032,8.669585,East,2024-06-04,156,09:15,05:57,20:32,61.46,20.0,75,83,0,3.1,Clear,Yes,Sunny
The Sky Cafe,No,No,49.402262,8.670681,North,2025-03-02,61,15:15,04:39,21:50,0.0,17.1,42,44,25,1.6,Clear,No,Shady
Café Latte,Yes,No,49.406633,8.675062,South,2025-01-27,27,07:30,04:12,22:17,0.0,14.6,53,78,0,1.5,Clear,Yes,Sunny
Hill Café,Yes,Yes,49.399309,8.676872,East,2024-06-23,175,16:15,05:59,20:30,44.91,15.9,90,92,0,0.6,Fog,Yes,Sunny
The Amber Cafe,No,No,49.388185,8.672378,North,2025-04-04,94,09:15,05:13,21:16,15.19,22.4,79,31,22,4.8,Clear,No,Sunny
Rock Coffee,No,Yes,49.391069,8.667222,North,2025-03-06,65,06:15,04:43,21:46,0.0,20.8,81,32,36,11.2,Clear,No,Shady
Café Borough,No,Yes,49.397605,8.67125,South,2024-02-18,49,12:30,04:28,22:01,0.0,21.5,87,12,43,9.2,Clear,No,Sunny
Porch Café,Yes,No,49.400343,8.669779,East,2024-01-21,21,17:15,04:08,22:21,0.0,16.6,54,91,0,4.8,Rain,Yes,Sunny
Café Grove,Yes,No,49.39886,8.670538,West,2024-02-16,47,14:15,04:27,22:02,0.0,18.5,85,38,32,1.2,Rain,No,Sunny
Café Brew,Yes,No,49.397826,8.680485,West,2025-01-11,11,19:30,04:04,22:25,21.61,13.2,55,39,17,13.1,Clear,No,Sunny
Aurora Espresso,Yes,No,49.403466,8.669172,South,2025-03-19,78,06:15,04:57,21:32,0.0,15.8,62,26,38,9.5,Rain,No,Sunny
Cafe de Grove,No,Yes,49.405007,8.666196,East,2023-10-21,294,10:30,04:29,22:00,0.0,15.1,44,100,0,13.5,Cloudy,Yes,Shady
Drift Beans,No,No,49.395266,8.681229,West,2024-07-03,185,14:15,05:58,20:31,75.77,13.2,48,33,26,2.1,Clear,No,Sunny
Cafe de Flint,Yes,Yes,49.398103,8.669284,West,2024-04-01,92,18:15,05:11,21:18,0.0,24.0,86,1,52,1.2,Cloudy,No,Sunny
Petal Roasters,Yes,Yes,49.39331,8.669762,North,2024-10-31,305,12:45,04:20,22:09,0.0,13.8,59,90,0,13.0,Fog,Yes,Sunny
Café Amber,No,No,49.403852,8.667941,North,2024-07-18,200,16:00,05:53,20:36,39.6,11.5,72,60,6,6.0,Rain,Yes,Sunny
Moss Coffee,Yes,No,49.402384,8.670022,North,2023-10-08,281,11:00,04:41,21:48,0.0,9.2,82,23,41,7.4,Clear,No,Shady
Café Frame,No,Yes,49.396039,8.67105,South,2023-06-25,176,16:30,05:59,20:30,44.85,13.0,43,17,50,4.8,Cloudy,No,Sunny
Petal Coffee,Yes,No,49.394803,8.666704,South,2023-10-02,275,19:45,04:47,21:42,4.97,10.3,90,14,36,13.9,Cloudy,No,Shady
Pine Coffee,No,Yes,49.397175,8.672692,West,2024-04-20,111,19:00,05:29,21:00,0.0,9.8,50,91,0,9.2,Clear,Yes,Sunny
Cafe de Obsidian,No,No,49.405699,8.664344,South,2024-09-06,250,08:45,05:13,21:16,9.61,11.3,63,68,2,11.1,Clear,Yes,Sunny
Café Twilight,No,No,49.40382,8.669533,East,2024-08-09,222,17:15,05:39,20:50,14.96,18.1,79,32,21,1.1,Clear,No,Sunny
Cafe de Vienna,No,No,49.406336,8.67458,West,2024-11-11,316,14:00,04:12,22:17,0.0,22.1,42,83,0,14.0,Cloudy,Yes,Sunny
Cafe de Vienna,No,No,49.398097,8.678169,East,2025-04-26,116,09:30,05:34,20:55,36.96,7.8,64,20,30,3.4,Clear,No,Sunny
Haven Brew House,No,Yes,49.399965,8.667792,South,2023-07-31,212,12:00,05:46,20:43,68.75,18.3,65,87,0,9.7,Rain,Yes,Shady
Silk Brew House,Yes,Yes,49.399103,8.675894,North,2025-01-27,27,19:30,04:12,22:17,18.42,22.1,53,69,0,12.3,Clear,Yes,Sunny
The Grind Cafe,Yes,Yes,49.397904,8.665504,East,2024-01-29,29,17:15,04:13,22:16,0.0,14.9,43,85,0,6.8,Fog,Yes,Sunny
Flint Coffee,Yes,No,49.394761,8.668484,East,2024-01-23,23,15:00,04:09,22:20,0.0,15.9,41,42,20,12.9,Rain,No,Shady
The Dawn Cafe,No,No,49.396907,8.672046,North,2023-06-20,171,11:45,05:59,20:30,86.93,12.1,67,30,24,8.8,Cloudy,No,Sunny
Café Roast,Yes,No,49.403075,8.670771,South,2023-06-08,159,08:30,05:58,20:31,44.0,17.2,80,62,0,13.4,Clear,Yes,Sunny
The Studio Cafe,No,Yes,49.394412,8.67333,South,2023-07-20,201,12:15,05:52,20:37,78.45,17.1,67,34,26,1.5,Clear,No,Sunny
Cafe de Amber,No,No,49.383618,8.666936,East,2025-05-24,144,19:30,05:53,20:36,0.0,13.2,41,95,0,4.4,Clear,Yes,Sunny
Bloom Beans,No,No,49.392058,8.668127,North,2024-06-22,174,18:45,05:59,20:30,0.0,10.4,79,72,0,3.8,Clear,Yes,Sunny
Heidel Espresso,No,No,49.401359,8.665264,West,2024-12-23,358,18:30,04:00,22:29,0.0,13.8,81,46,7,1.0,Rain,No,Sunny
Café Moss,Yes,Yes,49.40425,8.664224,South,2024-08-31,244,18:45,05:19,21:10,0.0,17.1,73,32,29,14.9,Cloudy,No,Sunny
Cafe Pulse,No,Yes,49.405466,8.667935,West,2024-12-25,360,08:15,04:00,22:29,0.0,14.9,77,86,0,11.6,Clear,Yes,Sunny
The Silk Cafe,No,Yes,49.401059,8.67649,West,2024-07-02,184,12:00,05:58,20:31,87.84,24.0,81,63,6,14.1,Clear,Yes,Shady
Frame Espresso,No,Yes,49.396912,8.671727,South,2024-02-03,34,18:45,04:16,22:13,0.0,14.3,44,59,0,4.5,Clear,Yes,Sunny
Aurora Espresso,No,Yes,49.396612,8.66889,East,2024-05-13,134,10:15,05:47,20:42,62.46,11.4,46,88,0,4.8,Cloudy,Yes,Shady
River Café,Yes,Yes,49.397828,8.663549,East,2025-05-01,121,14:45,05:38,20:51,50.56,14.9,68,46,7,1.0,Clear,No,Sunny
Brew Coffee,Yes,Yes,49.397504,8.666535,East,2024-12-28,363,19:00,04:00,22:29,23.0,17.7,65,73,0,12.5,Clear,Yes,Sunny
The Sky Cafe,Yes,Yes,49.394627,8.67348,North,2023-11-07,311,09:15,04:16,22:13,0.0,22.8,61,34,23,14.8,Clear,No,Shady
The Barn Cafe,No,No,49.391969,8.673977,West,2024-11-09,314,08:30,04:14,22:15,0.0,6.6,61,57,0,10.4,Rain,Yes,Sunny
Vienna Brew House,No,Yes,49.399018,8.67259,South,2024-03-13,73,15:00,04:52,21:37,0.0,20.5,43,100,0,9.0,Clear,Yes,Sunny
Cafe de Barn,No,Yes,49.396231,8.678086,West,2025-04-22,112,18:45,05:30,20:59,0.0,18.0,73,80,0,11.7,Fog,Yes,Shady
Sun Espresso,No,No,49.40674,8.664596,North,2024-09-14,258,10:00,05:05,21:24,6.03,17.1,42,48,19,3.4,Clear,No,Sunny
Cafe Berg,Yes,No,49.402381,8.669266,West,2024-04-13,104,18:00,05:23,21:06,0.0,12.4,51,81,0,11.1,Clear,Yes,Sunny
Bean Brew House,Yes,No,49.403604,8.678565,East,2024-07-17,199,11:00,05:53,20:36,77.2,17.4,84,30,36,0.1,Rain,No,Sunny
River Coffee,Yes,No,49.395338,8.672041,North,2024-09-04,248,19:45,05:15,21:14,0.0,15.4,61,12,49,0.5,Clear,No,Sunny
Loft Beans,Yes,No,49.391175,8.669497,North,2024-11-13,318,16:45,04:11,22:18,0.0,8.7,87,31,33,1.5,Clear,No,Sunny
Berg Café,No,No,49.39199,8.667027,East,2024-02-27,58,08:30,04:37,21:52,0.0,11.8,69,9,54,7.6,Fog,No,Sunny
The Barn Cafe,Yes,Yes,49.392686,8.683683,North,2025-03-06,65,10:30,04:43,21:46,0.0,15.4,52,34,26,5.9,Clear,No,Sunny
Velvet Café,No,Yes,49.403937,8.672634,North,2025-04-12,102,06:30,05:21,21:08,0.0,15.4,46,12,51,5.9,Clear,No,Sunny
Cafe de Haven,No,No,49.390314,8.671221,East,2025-02-09,40,07:00,04:21,22:08,0.0,16.9,62,38,18,8.3,Clear,No,Sunny
Studio Coffee,No,Yes,49.404527,8.669224,West,2024-09-27,271,06:30,04:52,21:37,0.0,16.3,71,51,10,4.1,Rain,Yes,Sunny
Storm Café,No,No,49.397226,8.676589,North,2023-10-16,289,06:15,04:34,21:55,0.0,12.7,67,3,50,14.4,Cloudy,No,Shady
Cedar Beans,Yes,No,49.395766,8.677846,South,2023-06-23,174,18:15,05:59,20:30,0.0,18.6,71,20,43,8.2,Clear,No,Sunny
Cedar Brew House,No,No,49.39795,8.676884,West,2024-06-04,156,10:15,05:57,20:32,75.27,14.6,89,60,1,11.4,Clear,Yes,Sunny
